VP Report
ValidPrime Version: v.0.9.2
Input file: H:/jiaco/Dropbox/VP-tests/AAChip09-02-11_2short.txt
Input format: Biomark
Date/Time: Aug 23 2011 11:49
VPAssay: m1qB_2
Valid gDNA rows: _80_gDNA 5 _79_gDNA 50 _78_gDNA 500 _77_gDNA 2500 _76_gDNA 5000 _75_gDNA 10000
gDNA concentrations: 5 50 500 2500 5000 10000
LinReg all-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
LinReg VPA-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
ValidateAssays: true
LOD: 40
DeltaCq Min Count: 3
DeltaCq AllSD Cutoff: 0.3
DeltaCq LooSD Cutoff: 0.2
Grade A: 3
Grade B: 25
Grade C: 60

GOI	Sample	Note	CqInput	CqDNA Count	CqDNA	PctDNA	CqRNA

gapdh	_81_RT2, DNase	NOCALC	10.2994	6	19.2016	0.209022	0
gapdh	_82_RT2, DNaseplus500	NOCALC	9.46127	6	11.3854	26.3493	0
gapdh	_83_RT2, DNaseplus2500	NOCALC	8.61388	6	9.39623	58.1421	0
gapdh	_84_RT2, DNaseplus10000	NOCALC	7.4502	6	7.83081	76.8115	0
gapdh	_85_RT1, DNase	NOCALC	11.6786	6	18.0622	1.19775	0
gapdh	_86_RT1, DNaseplus50	NOCALC	11.6477	6	15.0717	9.31747	0
gapdh	_87_RT1, DNaseplus500	NOCALC	10.8693	6	12.6825	28.4567	0
gapdh	_88_RT1, DNaseplus2500	NOCALC	9.60402	6	10.2127	65.5799	0
gapdh	_89_RT1, DNaseplus10000	NOCALC	8.87856	6	9.44494	67.5308	0
itgb1	_81_RT2, DNase	NOCALC	13.5819	4	31.7127	0.000348403	0
itgb1	_82_RT2, DNaseplus500	NOCALC	12.7562	4	23.8966	0.0442989	0
itgb1	_83_RT2, DNaseplus2500	NOCALC	13.4852	4	21.9074	0.291519	0
itgb1	_84_RT2, DNaseplus10000	NOCALC	12.3677	4	20.342	0.397666	0
itgb1	_85_RT1, DNase	NOCALC	14.955	4	30.5733	0.00198796	0
itgb1	_86_RT1, DNaseplus50	NOCALC	14.4096	4	27.5828	0.0108258	0
itgb1	_87_RT1, DNaseplus500	NOCALC	14.5381	4	25.1936	0.061997	0
itgb1	_88_RT1, DNaseplus2500	NOCALC	14.1043	4	22.7239	0.254242	0
itgb1	_89_RT1, DNaseplus10000	NOCALC	14.6672	4	21.9561	0.639485	0
igfbp5	_81_RT2, DNase	NOCALC	13.2517	6	26.1148	0.0134225	0
igfbp5	_82_RT2, DNaseplus500	NOCALC	12.5945	6	18.2986	1.91814	0
igfbp5	_83_RT2, DNaseplus2500	CALC	13.0888	6	16.3094	10.7274	13.2525
igfbp5	_84_RT2, DNaseplus10000	CALC	11.8321	6	14.744	13.2874	12.0378
igfbp5	_85_RT1, DNase	NOCALC	12.8954	6	24.9754	0.0230983	0
igfbp5	_86_RT1, DNaseplus50	NOCALC	12.8906	6	21.9849	0.182963	0
igfbp5	_87_RT1, DNaseplus500	NOCALC	12.8129	6	19.5957	0.908196	0
igfbp5	_88_RT1, DNaseplus2500	CALC	12.4948	6	17.1259	4.0354	12.5542
igfbp5	_89_RT1, DNaseplus10000	CALC	12.7679	6	16.3581	8.3029	12.893
sox4	_81_RT2, DNase	NOCALC	19.337	6	28.5161	0.172512	0
sox4	_82_RT2, DNaseplus500	CALC	18.7855	6	20.6999	26.527	19.2302
sox4	_83_RT2, DNaseplus2500	NOCALC	18.027	6	18.7107	62.257	0
sox4	_84_RT2, DNaseplus10000	NOCALC	16.6764	6	17.1453	72.2535	0
sox4	_85_RT1, DNase	NOCALC	18.3778	6	27.3766	0.19547	0
sox4	_86_RT1, DNaseplus50	NOCALC	18.6322	6	24.3862	1.85302	0
sox4	_87_RT1, DNaseplus500	CALC	18.4486	6	21.997	8.54763	18.5776
sox4	_88_RT1, DNaseplus2500	CALC	17.8633	6	19.5272	31.5597	18.4104
sox4	_89_RT1, DNaseplus10000	CALC	17.6519	6	18.7594	46.408	18.5518
m10qA1_3	_81_RT2, DNase	NOCALC	24.8833	6	26.603	30.3622	0
m10qA1_3	_82_RT2, DNaseplus500	NOCALC	18.6077	6	18.7868	88.3249	0
m10qA1_3	_83_RT2, DNaseplus2500	NOCALC	16.6476	6	16.7976	90.121	0
m10qA1_3	_84_RT2, DNaseplus10000	NOCALC	14.9599	6	15.2322	82.7997	0
m10qA1_3	_85_RT1, DNase	NOCALC	25.2009	6	25.4636	83.3528	0
m10qA1_3	_86_RT1, DNaseplus50	NOCALC	22.6595	6	22.4731	113.792	0
m10qA1_3	_87_RT1, DNaseplus500	NOCALC	19.6183	6	20.0839	72.4156	0
m10qA1_3	_88_RT1, DNaseplus2500	NOCALC	17.6646	6	17.6141	103.564	0
m10qA1_3	_89_RT1, DNaseplus10000	NOCALC	16.3993	6	16.8463	73.3538	0
tgfbeta3	_81_RT2, DNase	NOCALC	17.3993	6	26.6981	0.158774	0
tgfbeta3	_82_RT2, DNaseplus500	NOCALC	16.438	6	18.882	18.3767	0
tgfbeta3	_83_RT2, DNaseplus2500	NOCALC	16.0035	6	16.8928	53.9868	0
tgfbeta3	_84_RT2, DNaseplus10000	NOCALC	14.5921	6	15.3274	60.0699	0
tgfbeta3	_85_RT1, DNase	NOCALC	16.9819	6	25.5587	0.261892	0
tgfbeta3	_86_RT1, DNaseplus50	NOCALC	17.0833	6	22.5682	2.23282	0
tgfbeta3	_87_RT1, DNaseplus500	NOCALC	16.722	6	20.1791	9.10605	0
tgfbeta3	_88_RT1, DNaseplus2500	NOCALC	16.1689	6	17.7093	34.38	0
tgfbeta3	_89_RT1, DNaseplus10000	NOCALC	15.8393	6	16.9415	46.5797	0
egr1	_81_RT2, DNase	NOCALC	11.2192	6	27.3819	0.00136317	0
egr1	_82_RT2, DNaseplus500	NOCALC	10.6977	6	19.5658	0.214014	0
egr1	_83_RT2, DNaseplus2500	NOCALC	11.3149	6	17.5766	1.30329	0
egr1	_84_RT2, DNaseplus10000	NOCALC	10.3098	6	16.0111	1.92184	0
egr1	_85_RT1, DNase	NOCALC	15.3488	6	26.2425	0.0525636	0
egr1	_86_RT1, DNaseplus50	NOCALC	15.3107	6	23.252	0.406855	0
egr1	_87_RT1, DNaseplus500	NOCALC	15.1832	6	20.8628	1.95101	0
