GOI Summary
ValidPrime Version: v.0.9.2
Input file: H:/jiaco/Dropbox/VP-tests/AAChip09-02-11_2short.txt
Input format: Biomark
Date/Time: Aug 23 2011 11:49
VPAssay: m1qB_2
Valid gDNA rows: _80_gDNA 5 _79_gDNA 50 _78_gDNA 500 _77_gDNA 2500 _76_gDNA 5000 _75_gDNA 10000
gDNA concentrations: 5 50 500 2500 5000 10000
LinReg all-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
LinReg VPA-gDNA: slope -3.0489; Eff 112.808; R2 0.99842
ValidateAssays: true
LOD: 40
DeltaCq Min Count: 3
DeltaCq AllSD Cutoff: 0.3
DeltaCq LooSD Cutoff: 0.2
Grade A: 3
Grade B: 25
Grade C: 60

GOI	gDNA Index Count	Flag	Confidence	All Sd	LOO Sd	gDNA Outlier	Slope	Eff	R2	nA*	nA	nB	nC	nF	nK0	nND
HLpool  1-10	6	NoFlag	High	0.109898	0	ND	-3.11651	109.349	0.997876	0	0	0	1	7	0	0	0
HLpool 5pr dil 	6	NoFlag	High	0.203449	0	ND	-3.18166	106.206	0.999083	0	0	0	1	8	0	0	0
HLpool 5pr non-dil 	6	NoFlag	High	0.192972	0	ND	-3.18418	106.088	0.998047	0	0	0	2	7	0	0	0
aars	6	NoFlag	Low	1.46998	0	ND	-2.03955	209.246	0.953274	0	8	1	0	0	0	0	0
adm	6	NoFlag	Low	0.925098	0	ND	-2.39339	161.708	0.926496	0	2	3	4	0	0	0	0
akap8l	5	NoFlag	Low	1.81411	0	ND	-0.860472	1352.62	0.887421	0	9	0	0	0	0	0	0
akt1	5	NoFlag	Low	0.786492	0	ND	-2.31599	170.259	0.86332	0	5	4	0	0	0	0	0
aldh1a2	4	NoFlag	Low	1.70242	0	ND	-0.0528461	8.37305e+20	0.0501683	0	9	0	0	0	0	0	0
ar	6	NoFlag	Low	2.29947	0	ND	-1.3456	453.557	0.872418	0	9	0	0	0	0	0	0
atf3	3	NoFlag	Low	2.18058	0	ND	0.580827	-98.1019	0.707243	0	7	2	0	0	0	0	0
atf4	6	NoFlag	Low	0.414066	0	ND	-3.34616	98.9987	0.999468	0	1	1	1	6	0	0	0
bcl2	6	NoFlag	Low	2.30776	0	ND	-1.16395	623.007	0.846614	0	5	4	0	0	0	0	0
cars	5	NoFlag	Low	3.18485	0	ND	-0.938819	1061.9	0.750634	0	7	2	0	0	0	0	0
ccnd1	5	NoFlag	Low	2.15092	0	ND	-1.3647	440.458	0.781072	0	9	0	0	0	0	0	0
ccng2	4	NoFlag	Low	3.0911	0	ND	-0.94439	1045.21	0.469594	0	9	0	0	0	0	0	0
cebpb	6	NoFlag	High	0.176498	0	ND	-3.12601	108.88	0.996759	0	4	3	2	0	0	0	0
col6a1	0	A+	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
ctsf	6	NoFlag	Low	1.01946	0	ND	-3.74274	85.0052	0.986228	0	3	2	4	0	0	0	0
cxcr7	6	NoFlag	Low	4.19111	0	ND	0.159664	-99.9999	0.0592092	0	4	4	1	0	0	0	0
cyr61	6	NoFlag	Low	0.860886	0	ND	-3.61193	89.1734	0.993913	0	4	3	2	0	0	0	0
dio2	4	NoFlag	Low	2.54914	0	ND	0.660858	-96.9323	0.687116	0	9	0	0	0	0	0	0
dusp6	6	NoFlag	Low	1.23955	0	ND	-2.24014	179.512	0.928756	0	5	4	0	0	0	0	0
egf julien	4	NoFlag	Low	2.98946	0	ND	-0.858777	1360.32	0.257632	0	5	3	1	0	0	0	0
egfr	6	NoFlag	Low	2.69608	0	ND	-0.95931	1002.59	0.885433	0	9	0	0	0	0	0	0
egr1	6	NoFlag	Low	1.06412	0	ND	-3.79692	83.3881	0.994728	0	7	2	0	0	0	0	0
errfi1	4	NoFlag	Low	3.95477	0	ND	-0.085456	5.03419e+13	0.0754228	0	6	1	1	0	0	0	0
esr1 ex1	5	NoFlag	Low	0.362819	0	ND	-2.49495	151.658	0.961476	0	4	5	0	0	0	0	0
esr1 ex4/5	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
esr1 labo	0	A+++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
esr2 labo	6	NoFlag	High	0.289181	0	ND	-3.23229	103.882	0.998945	0	0	1	1	7	0	0	0
ets2	4	NoFlag	Low	1.08272	0	ND	-0.700379	2577.93	0.682929	0	9	0	0	0	0	0	0
fam65b	0	A+++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
fos	3	NoFlag	Low	2.37313	0	ND	-1.02472	845.958	0.415935	0	9	0	0	0	0	0	0
gadd45a	5	NoFlag	Low	1.65881	0	ND	-1.82919	252.121	0.826626	0	9	0	0	0	0	0	0
gadd45g	4	NoFlag	Low	1.03064	0	ND	-0.724842	2296.69	0.625659	0	9	0	0	0	0	0	0
gapdh	6	NoFlag	Low	0.416325	0	ND	-3.29916	100.959	0.998594	0	2	1	3	3	0	0	0
gbp2	4	NoFlag	Low	1.27385	0	ND	-0.467588	13660.5	0.616559	0	9	0	0	0	0	0	0
gja1	3	NoFlag	Low	1.22111	0	ND	0.0807573	-100	0.0355296	0	9	0	0	0	0	0	0
gpr30	6	NoFlag	Low	1.11969	0	ND	-2.58304	143.86	0.931959	0	4	3	0	2	0	0	0
hars	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
hbegf	0	A+	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
hdac5	5	NoFlag	Low	1.61158	0	ND	-1.04451	806.53	0.892255	0	5	4	0	0	0	0	0
hprt1	5	NoFlag	Low	0.396911	0	ND	-2.16137	190.182	0.946257	0	6	3	0	0	0	0	0
hspa5	4	NoFlag	Low	0.603026	0	ND	-0.978761	951.234	0.959548	0	9	0	0	0	0	0	0
id1	6	NoFlag	High	0.235974	0	ND	-3.22048	104.415	0.997708	0	4	4	1	0	0	0	0
igf1	0	A+++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
igf1r	3	NoFlag	Low	0.767829	0	ND	-0.756789	1995.91	0.68048	0	9	0	0	0	0	0	0
igfbp2	0	A+++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
igfbp3	6	NoFlag	Low	2.62918	0	ND	-1.03326	828.556	0.817191	0	9	0	0	0	0	0	0
igfbp5	6	NoFlag	High	0.0617663	0	ND	-2.97139	117.042	0.998415	0	5	4	0	0	0	0	0
igfbp6	6	NoFlag	Low	1.72398	0	ND	-1.21736	562.898	0.906898	0	3	3	3	0	0	0	0
inhbb	5	NoFlag	Low	0.632007	0	ND	-1.84858	247.501	0.960273	0	4	3	1	1	0	0	0
ipo5	6	NoFlag	Low	0.894241	0	ND	-2.48296	152.781	0.961472	0	5	4	0	0	0	0	0
itgb1	4	NoFlag	Low	2.49066	0	ND	-1.13412	661.622	0.648876	0	9	0	0	0	0	0	0
junb	5	NoFlag	High	0.234998	0	ND	-2.29921	172.227	0.99222	0	3	3	2	1	0	0	0
klc1	3	NoFlag	Low	1.44355	0	ND	-0.470161	13294.7	0.299909	0	9	0	0	0	0	0	0
klk1	6	NoFlag	Low	0.359951	0	ND	-3.27341	102.065	0.999365	0	1	1	0	7	0	0	0
lepr	0	A+	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
ler2	6	NoFlag	High	0.236935	0	ND	-3.19944	105.378	0.997472	0	4	3	1	1	0	0	0
lnc2	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
ltf	3	NoFlag	Low	1.33368	0	ND	-0.1864	2.31639e+07	0.970069	0	9	0	0	0	0	0	0
m10qA1_3	6	NoFlag	Low	0.758947	0	ND	-3.46564	94.3334	0.989898	0	0	0	1	8	0	0	0
m15qE3_2	6	NoFlag	High	0.294332	0	ND	-3.53044	91.9778	0.990482	0	0	0	1	7	0	0	0
m19qB_2	6	NoFlag	High	0.151723	0	ND	-3.0622	112.111	0.998546	0	0	0	1	7	0	0	0
m19qC3_3	5	NoFlag	High	0.26901	0	ND	-2.50765	150.484	0.973727	0	0	1	2	6	0	0	0
m5qF_2	6	NoFlag	High	0.184814	0	ND	-3.29794	101.011	0.999245	0	0	0	0	9	0	0	0
mad2l1	6	NoFlag	High	0.154462	0	ND	-3.16428	107.027	0.998972	0	3	3	1	2	0	0	0
mapk1	5	NoFlag	Low	3.00038	0	ND	-0.771771	1875.7	0.377029	0	9	0	0	0	0	0	0
mapk3	6	NoFlag	Low	0.331789	0	ND	-3.27675	101.921	0.999891	0	3	3	3	0	0	0	0
mki67	0	A+++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
myc	5	NoFlag	Low	1.29292	0	ND	-1.38438	427.649	0.778276	0	9	0	0	0	0	0	0
nfkbia	6	NoFlag	Low	0.409587	0	ND	-2.84981	124.337	0.985097	0	4	4	1	0	0	0	0
odc	6	NoFlag	Low	0.600154	0	ND	-3.4834	93.6759	0.999166	0	2	3	4	0	0	0	0
p21	5	NoFlag	Low	3.96451	0	ND	0.135891	-100	0.0347512	0	9	0	0	0	0	0	0
pcna	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
pgr	6	NoFlag	Low	1.61008	0	ND	-1.81134	256.514	0.983454	0	5	4	0	0	0	0	0
pik3r2	6	NoFlag	Low	0.335589	0	ND	-3.41758	96.1575	0.999052	0	3	2	2	2	0	0	0
pno1	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
psat1	5	NoFlag	Low	0.766515	0	ND	-1.9084	234.194	0.885783	0	6	3	0	0	0	0	0
pten	0	A++	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
ptov1	0	A+	-	0	0	ND	0	0	0	0	0	0	0	0	0	0	0
