Chip Run Info	D:\laurell\Results\Fluidigm\HLmanip 28-07-10 EVAGr Chip 6&7\chips_HL_ du 290710\ERAAF12_HL_A_290710\CHIP_A\PCR Cycle\chiprun.bml		1361403008	96.96 (136x)	96x96_qPCR (10min Hot Start : 35cyc) + MCA 	ROX	EvaGreen at 20C	40388.46192	0.065497685	BIOMARK077																																																																																						
Application Version	3.0.2																																																																																															
Application Build	20100811.22																																																																																															
Export Type	Heatmap Results : Inlet-based View																																																																																															
Quality Threshold	0.65																																																																																															
Baseline Correction Method	Linear (Derivative)																																																																																															
Ct Threshold Method	Auto (Detectors)																																																																																															


EvaGreen at 20C Ct																																																																																																
		84	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	85	86	87	88	89	90	91	92	93	94	95	96
		VPA	GOI1	GOI2	GOI3	GOI4	GOI5	GOI6	GOI7	GOI8	GOI9	GOI10	GOI11	GOI12	GOI13	GOI14	GOI15	GOI16	GOI17	GOI18	GOI19	GOI20	GOI21	GOI22	GOI23	GOI24	GOI25	GOI26	GOI27	GOI28	GOI29	GOI30	GOI31	GOI32	GOI33	GOI34	GOI35	GOI36	GOI37	GOI38	GOI39	GOI40	GOI41	GOI42	GOI43	GOI44	GOI45	GOI46	GOI47	GOI48	GOI49	GOI50	GOI51	GOI52	GOI53	GOI54	GOI55	GOI56	GOI57	GOI58	GOI59	GOI60	GOI61	GOI62	GOI63	GOI64	GOI65	GOI66	GOI67	GOI68	GOI69	GOI70	GOI71	GOI72	GOI73	GOI74	GOI75	GOI76	GOI77	GOI78	GOI79	GOI80	GOI81	GOI82	GOI83	GOI84	GOI85	GOI86	GOI87	GOI88	GOI89	GOI90	GOI91	GOI92	GOI93	Neg Ctrl
1	RT289	17.45637786	13.56573182	9.319156403	13.51328835	15.7494485	11.23220535	11.48455453	9.659434251	9.499788717	14.13334763	9.394365336	8.806068849	10.00151646	14.69428058	8.605329335	12.21643307	17.26677628	14.7122833	9.35006267	13.74372149	7.337227793	9.815349599	16.9105144	13.31476058	6.559689793	12.87289128	7.776563961	16.24530313	19.69729074	7.554000676	7.351761241	10.76366677	11.85264609	8.364888441	8.395434136	15.32473631	19.73778572	11.03754909	10.93821671	10.8294673	18.73918414	8.119889274	8.541993068	17.61847074	11.70500443	14.831111	14.11409639	6.567014527	12.75067346	5.444060063	10.86105218	12.10506289	6.252368079	5.923086025	5.977221047	13.08835961	10.53541031	10.06392013	10.37158218	14.28590974	9.30528002	12.34813288	13.67771959	13.32304305	13.45023783	14.26769047	7.564185046	8.471343195	11.28387676	11.14366396	8.946228532	6.962546967	7.209282621	13.88714665	10.35109231	13.72241398	17.9953385	9.356073152	19.31483724	9.133969381	8.378524712	11.71441815	11.54238119	7.522043168	13.09758297	5.955965926	11.46604942	12.58666674	11.09279057	11.2695915	9.330065613	20.15227866	8.455828573	6.23552483	999
2	RT297	17.41717364	13.44317224	9.748955857	15.79384051	15.69217714	11.46584871	10.09459996	10.71888838	9.609410952	13.35783816	8.717310847	6.345974096	10.02228527	15.36525137	10.32281488	14.70335899	14.70819428	13.63602814	11.53258489	12.01549276	8.72407967	9.650997357	16.94965034	12.15671813	7.149603565	12.62224107	8.748109174	17.07626532	17.14085543	4.98598704	7.393198377	10.97085913	10.57297772	5.881395773	5.405114757	14.47393896	20.62438911	16.11381787	8.980054217	11.7097663	17.77122231	5.558760932	10.02523038	15.66148149	11.41807723	11.20603885	12.09744511	7.163228956	8.657664075	5.063326686	11.84886393	12.96515865	7.219083973	7.632978275	6.292056106	12.21224343	15.66402409	9.503359779	10.43774351	12.87664748	8.976512225	11.0170956	11.77648962	14.56633248	9.056653762	11.74496362	5.383368449	8.186463594	14.07850974	10.91621174	9.917654901	5.066962905	5.016389697	11.99129428	8.208891017	13.79352889	15.0641671	7.438037025	16.01810937	9.445153405	6.228606876	14.08312518	12.38742006	5.101754915	11.14763271	6.306512235	11.98553724	12.23964863	12.32064319	13.80788551	8.172651004	19.06115023	8.19650032	6.434052054	999
3	RT305	16.4734894	14.76262853	13.57789744	14.36516659	19.70502195	12.17271618	14.84454836	12.13213773	11.02034803	15.60483364	11.92027775	11.58649247	10.85815329	17.76587534	10.59868765	13.31801256	17.10282063	16.32631279	17.49445613	18.371677	6.681747201	11.6608131	16.57578718	12.5461157	8.342419944	13.86901926	9.744652539	15.18563845	20.32733868	12.20503538	7.960441115	11.71351224	18.22453364	11.40126932	14.05438142	16.86082485	21.44304221	17.34545829	12.88876955	12.5549103	18.46262807	13.69500179	9.055150948	18.37285294	15.09019766	16.48281328	18.67227546	7.917621561	16.13642451	6.596111021	10.95569666	15.86270682	10.16570805	10.94708879	7.250462917	17.90850598	16.82817804	13.68315214	11.64876866	13.94313548	13.32475227	17.26637236	21.26195191	16.74242178	16.93688034	19.61570985	12.56922	10.38233138	14.00993724	14.19448384	10.82232476	10.26786532	10.49248406	12.76549388	17.70688303	14.90758852	20.72765261	11.55615724	22.55319953	14.66030868	13.90923878	12.19859977	13.35275978	11.00239601	15.74275958	8.450748851	13.48699979	15.45276265	14.55763133	11.84316366	9.807166018	21.49838423	9.996720627	7.603896156	999
4	RT313	17.92815415	13.77664061	15.78810023	14.99541135	19.73703371	11.99792566	16.7592379	10.43835795	10.15971971	15.65222116	9.768433965	9.950277751	10.12451157	14.71755095	12.7037112	13.83094666	17.73429686	17.38937148	14.6329071	14.33648767	8.804036274	10.83092385	17.65739809	9.334162123	7.486321849	12.63991752	8.968574475	15.9931154	15.58142959	11.99500928	6.783167795	10.91159994	12.2551198	9.772208099	14.35949965	18.05970787	20.86343738	17.39239606	10.90000632	10.98954556	16.27582081	13.9940806	9.30647144	17.33819922	15.60899522	14.18920574	14.23570375	7.530945936	17.21374804	5.466390327	10.48783157	13.64812876	11.60739382	8.601516529	6.564921263	16.48048544	17.14721661	15.04036397	10.86955707	13.51728539	14.87636247	17.30301218	18.2738133	15.52960741	17.78411111	19.50828037	12.56439062	8.844415533	14.37346711	14.7015784	9.406538722	9.664764658	9.684110994	8.855392661	16.32117662	13.68032336	19.51371567	12.50076895	24.06352827	13.20143899	13.77359659	11.70876876	12.15138996	10.11221572	16.0392774	7.219468816	12.37742712	13.13364153	14.32144281	11.21128351	9.027471786	21.38222747	9.368271965	6.594556173	999
5	RT321	17.0931535	14.00842252	10.27639343	14.81324785	18.20338261	12.20497312	12.82650908	11.42577308	10.37902532	14.36316377	11.07234131	10.22175992	10.32540595	16.14100665	10.08319225	13.70359945	18.94110929	14.33270294	13.23739393	17.10957072	9.545907736	10.85376298	17.07334193	13.40085457	7.429499383	13.53542171	8.231198111	15.8358347	19.78533797	9.55169595	7.793102007	11.70498542	11.22101832	10.03037455	10.32905067	15.11432142	21.48755455	14.6282411	12.08609444	11.73688368	19.13565224	10.30984993	9.001314875	16.38074281	13.7158367	14.76161314	17.28860298	7.351565102	14.7074971	5.871578352	11.16000738	13.65225274	7.043060502	7.695114779	6.849798777	16.3434511	14.09395227	10.8827469	11.01629979	12.01929262	10.45777268	15.88977568	18.48217874	14.78160469	15.18375039	16.40278606	8.794876341	9.14943853	13.37967294	12.94277424	9.724213072	8.216700656	8.273073697	13.96868236	13.56960418	14.0530529	17.55086323	8.953452139	20.15150364	11.43153164	9.84462295	11.71211887	12.40272936	8.534989599	13.74880265	7.180401741	12.61496135	13.88831031	12.79742428	11.4993311	9.208707091	19.93147863	9.460081612	6.909721251	999
6	RT329	17.30755251	13.80243758	8.923687001	15.37558354	16.08764212	12.03915687	10.31059493	11.34592665	10.23983706	13.68742769	10.25516483	7.759190597	10.13950919	16.06942517	10.88556106	14.11293861	17.22483019	13.83091215	12.44573462	15.15253084	9.408502899	10.60259421	17.97734959	13.58969184	7.48607236	13.7596473	8.212887841	16.13682795	19.24362258	6.378963386	8.002177706	11.77792555	10.69243255	7.608527907	6.420372686	14.42340686	21.88690916	15.6908503	11.14198715	11.81165007	19.5129915	6.558611207	9.824668774	15.2824202	11.80430983	13.29283364	15.01585858	7.50552436	9.515223784	5.896372562	12.21179686	13.53924575	6.798326392	7.41535759	7.129811338	13.84899989	15.1703865	9.332450664	11.08907827	12.24226422	9.01960426	14.24568411	14.8248096	14.49646866	9.835864476	13.61247398	5.947902257	8.753857641	13.73434804	11.18507467	10.04169727	5.829514883	5.712348353	13.68483655	8.645846539	13.68640636	16.86696447	8.233080038	16.56357751	10.20168972	6.870739873	13.29470483	12.58923492	6.072714482	11.97554156	6.871435882	12.28571807	13.64114691	12.54120203	12.93889729	8.799313549	20.76952936	8.931169639	6.86354213	999
7	RT337	16.15645145	14.34413414	13.00274143	12.92861597	16.8457717	11.86473039	14.11916596	10.9913628	11.16532718	14.18831418	11.76162936	11.52966614	10.63161465	15.88693543	9.946375784	11.92884447	17.79920737	16.11128543	16.31566247	19.41934498	6.121522282	12.27830992	15.9827001	13.61828543	7.711509453	13.88864594	9.886669757	12.72618139	18.0865674	13.71664785	7.83958821	10.90767531	14.61675795	11.42898554	13.29272407	16.74460018	22.51059158	19.36347962	12.77979974	11.91587272	18.38900224	12.99347763	7.681283276	16.39906052	14.69492669	16.07204554	19.69144643	7.471198448	16.59271354	6.154673481	10.77551696	15.59187141	8.5000235	9.906327545	8.46118595	16.79513223	18.43538586	12.44445089	11.68737782	13.31285856	12.0810268	16.3841651	21.47918781	15.80612252	17.46007092	17.71815365	12.80017252	10.38326065	13.23382766	13.86377998	10.54460173	10.360865	10.50524381	16.83370619	18.31705986	14.41590688	19.7170568	10.989324	21.56255465	14.88173017	13.97545198	12.06229529	12.84213699	10.83755518	15.19699968	9.427033409	12.92524422	14.96582143	12.81866853	11.89294831	9.650489631	22.60541041	9.578412049	7.119669635	999
8	RT345	16.95502297	14.80266562	7.710306954	17.12705116	15.09251714	12.86406696	9.794595527	12.15915406	10.7607117	14.16631268	10.4275857	5.913254386	10.66257102	17.55381691	10.15863693	15.81943584	16.9471592	11.98723449	12.60816091	14.60988927	9.664853321	10.91651145	16.58524492	12.96050085	7.938944829	13.93426253	9.706829213	16.96265821	20.28063202	4.833462368	8.489395673	12.20669587	15.50424144	5.560204617	5.053332192	12.6317533	21.90215401	17.85898018	10.47365198	12.81342821	19.57819247	5.137310772	10.40766213	15.98419214	12.1332175	12.86010961	14.57636853	7.930579936	7.189732792	6.073826453	13.57578299	14.50086115	6.584692843	8.332957265	7.428633022	11.39679733	17.21681687	7.907550436	11.75065619	12.98961112	7.217390574	13.60490804	9.963036824	16.19477658	7.551082264	11.4800575	5.054681663	8.794384117	14.92440942	11.50921909	11.23686425	4.4582932	4.518807598	13.71364696	7.034398253	14.78271028	14.8953238	8.073210293	15.85726975	9.278671183	5.924119816	15.96346371	13.5436484	5.107458524	10.66806344	7.306956942	12.96384502	13.67121698	13.22016595	15.62413323	9.582742986	21.0607624	8.809274883	7.347099177	999
