Chip Run Info	D:\laurell\Results\Fluidigm\Anne Abot\eraaf-090211\ChipRun.bml	1361517098	96.96 (136x)	96x96_qPCR (10min Hot Start : 35cyc) plus MCA 	ROX	EvaGreen at 20C	09/02/2011 10:39	01:34:30	BIOMARK077																																																																																								
Application Version	3.0.2																																																																																																
Application Build	20100811.22																																																																																																
Export Type	Heatmap Results : Inlet-based View																																																																																																
Quality Threshold	0.65																																																																																																
Baseline Correction Method	Linear																																																																																																
Ct Threshold Method	Auto (Detectors)																																																																																																


EvaGreen at 20C Ct																																																																																																	
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
		gapdh	itgb1	igfbp5	sox4	m10qA1_3	tgfbeta3	egr1	lnc2	pgr	hspa5	fam65b	cxcr7	hprt1	ubb	igfbp6	sox17	gadd45a	ptp4a1	cyr61	aars	ar	m15qE3_2	esr1 labo	errfi1	col6a1	fos	atf3	p21	gadd45g	pten	ramp3	cars	esr1 ex1	ipo5	pno1	gja1	tpt1	ltf	atf4	m5qF_2	mapk1	pik3r2	adm	hars	esr1 ex4/5	tnxb	ler2	ctsf	egf julien	igf1	m1qB_2	ccng2	mapk3	rasd1	bcl2	psat1	esr2 labo	txnip	gbp2	akap8l	HLpool  1-10	igf1r	myc	ccnd1	dusp6	ptov1	aldh1a2	odc	ets2	klc1	dio2	mki67	HLpool 5pr non-dil 	igfbp2	junb	mad2l1	akt1	nfkbia	tgfbeta1	egfr	sprr2f	hdac5	m19qB_2	m19qC3_3	HLpool 5pr dil 	igfbp3	cebpb	ptrf	ptp1b	hbegf	lepr	gpr30	klk1	inhbb	id1	pcna
75	gDNA 10000	7.281899803	23.20103251	14.31335471	16.37201262	14.4669903	14.69361635	14.96034696	31.27229664	19.04974398	21.12112818	999	25.48145434	18.20406297	13.27314616	15.38188914	15.53192744	22.80977115	12.05175773	15.0149472	21.40676093	24.89297325	13.64511665	33.02494019	23.76975595	24.92435349	25.21975039	25.40547905	27.50833806	22.70309501	26.18898779	26.20394019	24.77993999	15.40965904	17.56366582	28.53598959	23.31887792	13.52406861	23.58653618	15.03916689	13.74287191	23.05651118	13.87785884	16.2888052	25.58881835	29.98870886	20.3637554	14.77801746	14.2063889	26.21175304	28.28575755	14.26026089	28.52544445	13.02102889	14.53346652	20.8028849	18.63462761	14.59964469	21.88269797	23.62954671	21.18380503	11.32578797	23.14744775	20.8928678	22.26632676	18.4724958	25.59636114	22.57833196	11.84590397	21.67573705	25.09155634	25.59707314	27.8889272	11.77022064	25.92228507	16.88812748	15.01435269	19.52522961	17.37602656	29.23596574	24.24826829	15.43454217	21.80171315	14.09201744	15.27615053	11.81290084	22.38729671	15.95552057	25.09672733	26.06302251	26.10491739	27.0546593	21.45230374	10.87044003	16.47342999	14.88806316	25.54510987
76	gDNA 5000	8.349905298	23.64611088	15.60266738	17.64412773	15.68882684	15.99823066	16.20750568	999	19.55575274	21.84473058	999	26.34807952	18.83119264	14.28139386	16.39085796	16.92168897	22.32560582	13.15525952	16.28107756	21.64519262	23.49953549	14.79006865	999	25.38090818	26.51116959	25.94731182	25.60856682	27.89808947	24.53003715	27.2697294	26.48606771	26.12488464	16.30878493	18.69640734	999	23.96689252	14.5332734	25.14187738	16.24600875	14.96641062	25.58885767	15.25741718	17.89365226	29.61819221	33.54223359	20.99224284	15.84500459	15.35295943	28.98069553	31.75233701	15.46319603	27.27009684	13.98837187	15.57479823	20.91915535	18.97698925	15.95405406	22.9696306	24.986362	21.60184923	12.59196944	24.15093095	21.42449881	22.98342298	19.85312905	25.36840131	23.16740871	12.94554036	23.50065182	24.78149109	25.71290132	31.92650687	13.08978328	31.10275938	18.18733499	16.1463478	20.45723309	18.75682736	31.63312735	24.30891416	16.36638122	22.40783157	15.34067131	16.46026897	13.07126508	22.87750374	17.36154584	25.6241585	26.27391629	29.51002026	28.7136204	22.16515659	11.91598647	17.17373593	16.26312846	28.42395179
77	gDNA 2500	9.139700045	22.98842593	16.35907215	18.72393683	16.53751558	16.76300615	16.80352521	32.78318027	19.71540774	22.38269526	999	25.3128928	19.44435414	15.07910451	17.05207163	17.69719006	22.72261381	14.11502511	17.15504377	21.2951668	24.64395633	15.7594452	999	23.64566356	24.78153037	30.63953877	25.67499691	26.81815074	23.80587033	26.6491402	31.12817251	26.4715146	17.16114645	19.30547162	26.75308838	23.15736342	15.67070976	25.27156608	16.99404594	15.81991929	23.31896063	16.16930795	19.14095282	28.61723276	31.44782222	21.2877529	16.86332508	16.16662992	27.79521634	30.02781694	16.43591658	29.09313083	15.04555948	16.56672169	20.72090267	19.06282561	16.72237272	22.91054324	24.76099873	21.8190533	13.44437431	24.00951303	21.50248002	22.91162968	20.8313757	26.60159604	22.63208977	13.82977573	23.41029109	26.49584877	23.87264389	29.50128843	13.92260088	29.17660751	19.33820444	17.1254777	20.47781528	19.55965799	30.48004526	25.21883931	17.34692719	22.01805821	16.20621033	17.37381403	13.87911313	23.85042869	17.94692531	25.81079349	26.59429517	28.20170002	27.24851712	21.43731482	12.83265869	17.53259089	17.05860555	27.27090625
78	gDNA 500	11.25156257	23.66403207	18.43817609	20.84227472	18.66698027	18.86579544	19.26636819	29.60291966	21.20696219	23.89835631	999	23.82252109	21.3939997	17.55178845	18.3015889	19.97325559	24.30708943	16.36798675	19.51284417	22.80830561	25.06372121	17.86719792	999	23.2389304	24.96153718	24.8688098	24.44691233	26.44704366	25.23087937	25.4886437	26.38866085	24.92415373	19.35661578	21.08365489	999	23.93958717	17.8608996	25.51467686	19.33790014	17.98720596	24.19863626	18.37989662	21.15219821	28.10125011	29.19178153	22.81642217	18.82983961	18.2941582	24.69874182	28.18317482	18.44910666	25.27595519	17.20205229	18.74103647	20.89053929	20.94375408	18.86599465	25.43548731	25.20694571	22.25489556	15.54485456	25.66450905	21.96834786	23.44965371	23.22059082	25.35335048	22.95463492	16.07689908	23.94284607	25.72181257	24.22607403	28.68521523	15.99029843	27.76532947	21.51549453	19.27438464	22.2030996	21.76373462	26.17946704	25.55017967	19.20414716	23.57014035	18.4821435	19.59944513	15.95357731	23.48620136	20.24365737	25.13295716	27.25188423	27.59118337	24.54130589	22.65722307	14.9345458	19.54454813	19.33643211	26.63353701
79	gDNA 50	14.70074646	29.11134592	21.51334167	24.39062746	21.62331094	22.07707191	23.15880265	999	23.61830419	33.03141501	999	24.8558005	25.01913766	20.89943191	19.08873516	23.76737292	31.87124309	19.87683101	22.66947581	25.12271691	27.4236454	20.92953393	999	23.91109275	27.07728955	27.9967614	33.53130188	28.39201201	999	29.87405148	999	26.86323126	23.30842242	24.74164853	999	26.68785065	21.21189095	32.90231768	22.83242193	21.55481205	27.04536708	21.80957738	23.74295487	999	33.53284068	28.69993613	22.57561204	21.73383615	29.13457473	999	21.66751027	28.55210258	20.55595726	22.21126327	23.8549342	24.65157648	22.13461069	999	33.83504689	24.0955333	18.96988205	30.26463711	25.71349038	26.84562608	25.21067832	28.06358335	32.2105456	19.79382697	30.86551164	33.8780359	33.73891029	999	19.53410781	999	24.13072027	22.62958678	27.22968689	25.02898382	33.33125693	27.28276987	22.6960075	25.10853377	21.2375075	23.2686856	19.36885377	26.04051821	23.67531589	29.69470735	31.70432414	31.96063131	999	27.09670015	18.29197883	22.24659199	22.7976578	32.70102793
80	gDNA 5	18.25136553	26.69053856	24.22777767	26.88915724	26.39996149	25.55690313	27.66062156	28.39310144	24.66062713	999	999	25.51555882	31.31658764	23.79188848	19.59642932	27.82509287	28.35913463	24.00663123	27.34372245	27.97202288	28.34823383	25.75599096	999	24.12771015	33.3699889	999	999	26.39529403	999	32.03194527	27.00490744	27.97578872	999	25.30662562	999	27.88256382	22.96768402	999	26.1170163	24.66519845	26.73437851	25.38261202	24.15139967	999	999	33.40292407	25.22919249	27.01114865	28.65610497	999	24.3903466	28.8434321	23.84870736	24.52847339	24.06762652	33.71735399	25.47328834	999	999	25.22337549	21.62569502	33.09700355	29.11919203	27.07910731	25.78166401	26.63422202	999	23.36436827	999	999	999	999	22.32554069	999	999	25.45439016	30.63090772	26.66059375	999	27.02471292	22.91652355	999	24.40878179	999	22.40116417	25.54381708	26.28192562	999	999	33.69991498	999	29.54750749	21.75847826	999	25.55314332	999
81	RT2, DNase	10.29944927	13.58192556	13.25171753	19.33698302	24.88332263	17.39934097	11.21923524	13.29700713	15.37808709	12.0573848	17.14004112	20.44058143	14.63386969	9.549766887	13.99011182	16.07858747	14.2446729	13.7433548	13.49432214	14.33167401	15.83413444	24.62256448	22.50532298	15.52508436	11.82731214	13.29235942	17.47932287	15.0271148	12.17174622	14.7846486	13.36320092	17.34176899	15.2750484	13.78566285	27.58981118	15.46126387	9.269422092	17.0003287	20.04555382	27.13158908	14.32510147	17.27409193	17.59694356	15.08491085	12.93541054	15.87784179	13.99159729	17.12856001	20.61171146	12.78694873	26.15010194	18.17187308	14.18049616	12.789839	16.19308794	14.17831349	23.76837906	14.76924568	17.3701973	15.33654122	21.88312822	15.05874659	13.6088798	14.53548634	16.20331087	17.15820319	13.18985998	13.38262379	14.92849955	14.52954845	15.6983785	16.61495569	22.83902258	20.83412462	16.61686706	13.79195434	16.65122389	16.93891176	14.44658253	17.40623736	15.06275857	18.53778912	24.33935874	25.58371997	23.12679076	14.04375698	14.10102304	13.65893864	15.32533134	16.48648507	16.14324335	22.27784042	16.56662024	13.08284567	14.20507584	29.49882923
82	RT2, DNaseplus500	9.46127034	12.75615547	12.59448741	18.78546211	18.6077295	16.43796026	10.69769068	12.70714778	14.65762893	11.49733644	16.61570595	19.29858443	14.05538786	9.038512871	13.45541233	15.48405318	13.60868991	12.7153701	12.89955453	13.92170972	15.23624116	17.97711027	22.53914814	14.91694184	11.48366249	12.73651904	16.88010038	14.36473361	11.63481342	13.86302374	12.85875849	16.71940302	14.4843352	13.23589835	25.73370026	14.86687762	8.465855628	16.26654375	18.67067883	18.25872876	13.63368503	16.32146421	16.67381977	14.41932163	12.21990935	15.38632027	13.51442248	16.12644167	20.43155709	12.19211405	18.33396269	17.5304363	13.59847931	12.21408551	15.36542398	13.36255062	18.66145522	14.18214981	16.64642321	14.69306698	15.76112307	14.44525148	13.08993005	13.97630228	15.69734108	16.75958698	12.45910696	12.61622157	14.27351576	13.81395557	14.95512566	15.82631004	16.28974804	19.83101219	15.83493006	12.8519672	15.85967891	16.21746232	13.72860921	16.67115374	14.33780656	17.91927	18.51059991	19.49733915	16.30459408	13.37784683	13.45964421	13.08031916	14.60834059	15.83647158	15.37325796	21.36977163	14.41785305	12.66628094	13.65967641	27.58172179
83	RT2, DNaseplus2500	8.613882092	13.48519778	13.08879744	18.02702937	16.64756471	16.0034806	11.31486075	13.39212757	15.39453995	12.26581664	17.55414218	19.84022593	14.47657172	9.688313801	13.98768019	15.68264241	14.41111696	12.92834697	13.78595329	14.5876343	15.89858014	15.81907107	22.54500643	15.82466011	12.12960235	13.44561294	17.76573774	15.26288529	12.29113349	14.8785595	13.5746921	17.26724496	15.03944078	13.97392313	25.34748892	15.56185472	9.409528573	17.00564661	17.25096141	15.94343685	14.40818816	15.79785033	17.14434892	15.17493974	13.01920936	15.92783695	14.00346152	15.64204619	20.76932859	12.96722989	16.34475432	18.28363162	13.71842815	12.83063772	16.19423737	14.22026996	16.84721364	14.99676385	17.51153169	15.47260809	13.57596282	15.16591156	13.66490178	14.65175808	16.12063595	17.68521268	13.33132919	12.7923794	14.97167404	14.64060078	15.72764956	16.3793077	14.08690215	20.74120064	16.57061965	13.70147128	16.67214345	16.85251102	14.58167837	17.38413223	15.09614223	18.51240856	16.36991152	17.60171983	14.0892916	13.92962194	14.08845014	13.82199617	15.38806212	16.49820213	16.23720486	21.54100018	12.79803538	13.13221388	14.11883987	26.89523741
