	Ch25h	Serpine 1	Tgfb3	mVPA1
No RT	35.83959198	36.87931061	38.65774536	34.34130859
RT(+)	26.71305275	25.11865425	28.67101669	34.62265015
RT(+) + 200	26.30177689	24.92528915	27.99851799	28.06928253
RT(+) + 800	25.85663986	24.54833221	27.61413574	25.97555161
RT(+) + 1200	25.48106003	24.57591629	27.03198624	25.31687546
RT(+) + 1600	25.2311554	24.2870903	27.52717972	24.92873001
gDNA 50	30.64087982	30.1612999	31.66711731	29.37555428
gDNA 200	28.3997364	28.0838604	29.42370605	27.25584412
gDNA 800	26.18812752	25.82488251	27.23625565	25.01937103
gDNA 2400	24.58806229	24.37786102	25.38738632	23.42891502
