	Ch25h	m-PAI1	Tgfb3	mVPA1
RT(-)	34.50379562	35.55980301	36.9549408	33.02604218
RT(+)	25.97444916	24.13012505	27.02088547	32.83277893
RT(+) +200	25.62573814	24.21214104	26.93549347	27.59299278
RT(+) +800	25.20882797	23.89814377	26.42021751	25.551548
RT(+) +1200	24.78981018	23.8975544	25.94077873	24.92182922
RT(+) +1600	24.89405441	23.66352272	25.92913055	24.631464
gDNA 50	30.4654007	30.68925858	31.7248291	29.38924408
gDNA 200	28.52072906	28.58776093	29.55647469	27.38975143
gDNA 800	26.00839996	26.21575546	27.41721725	25.41900444
gDNA 2400	24.43593216	24.60364151	25.52462921	23.68484497
